competitor,search_alias,fiscal_year,award_id,piid,recipient_name,recipient_uei,award_amount,description,awarding_agency,sub_agency,start_date,end_date,pop_city,pop_state,naics_code,psc_code
Belcan,BELCAN,2022,DTNH2215F00071,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,11746611.11,IGF::CL::IGF TITLE:  NHTSA'S VEHICLE SAFETY HOTLINE  DESCRIPTION:  REFERENCE REQUISITION 14-00002 AND SOLICITATION NUMBER DTNH22-14-R-00022 IN NHTSA'S LEGACY SYSTEM FOR SUPPORTING DOCUMENTATION  CONTINUE SERVICES FOR NHTSA'S VEHICLE SAFETY HOTLINE SERVICES.  DTNH22-09-C-00130 IS PROVIDING THESE SERV,Department of Transportation,National Highway Traffic Safety Administration,2015-07-31,2022-05-04,,DC,,
Belcan,BELCAN,2022,TCC17HQG0063,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,11197471.8,IGF::CT::IGF SERVICE DESK SUPPORT SERVICES,Department of the Treasury,Office of the Comptroller of the Currency,2017-01-04,2022-07-03,,DC,,
Belcan,BELCAN,2022,H9240420F0215,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,11174849.4,USASOC HQ APP DEV LABOR,Department of Defense,U.S. Special Operations Command,2020-08-01,2023-07-31,,NC,,
Belcan,BELCAN,2022,NGA16FSS1377,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,7074349.56,IGF::OT::IGF,National Gallery of Art,National Gallery of Art,2016-10-01,2024-09-04,,DC,,
Belcan,BELCAN,2022,NGA17FSS0756EP,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,7034595.98,IGF::OT::IGF,National Gallery of Art,National Gallery of Art,2017-06-19,2024-09-04,,DC,,
Belcan,BELCAN,2022,2031ZA18F00523,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,7020432.16,IGF::OT::IGF  WEB APPLICATION SUPPORT SERVICES CYRBYME-C,Department of the Treasury,Bureau of Engraving and Printing,2018-11-13,2021-12-12,,DC,,
Belcan,BELCAN,2022,DU100F16T00009,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,6890580.5,CYBERSECURITY FRAMEWORK PROGRAM IMPLEMENTATION IGF::OT::IGF,Department of Housing and Urban Development,Department of Housing and Urban Development,2016-09-29,2020-09-28,,DC,,
Belcan,BELCAN,2022,DEDT0014027,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,5730121.98,IGF::OT::IGF - EIA IT INFRASTRUCTURE (OPERATIONS CONTROL&FACILITIES),Department of Energy,Department of Energy,2017-09-18,2020-09-17,,DC,,
Belcan,BELCAN,2022,H9240420F0049,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4564013.69,GAME CHANGERS II,Department of Defense,U.S. Special Operations Command,2020-04-01,2023-09-15,,FL,,
Belcan,BELCAN,2022,H9240420F0001,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4488726.72,RDT&E - SOFTWARE SYSTEMS ENGINEER SR,Department of Defense,U.S. Special Operations Command,2019-11-05,2021-07-28,,FL,,
Belcan,BELCAN,2022,H9240420F0042,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4329214.34,COMMAND DATA OFFICE SUPPORT II LABOR,Department of Defense,U.S. Special Operations Command,2020-02-13,2022-02-12,,FL,,
Belcan,BELCAN,2022,H9222217F0265,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4295732.95,IGF::CT::IGF C4I LAB,Department of Defense,U.S. Special Operations Command,2017-09-25,2023-03-24,,FL,,
Belcan,BELCAN,2022,H9240419F0104,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,3917136.75,USASOC DEFENSEREADY LABOR,Department of Defense,U.S. Special Operations Command,2019-04-01,2021-10-31,,NC,,
Belcan,BELCAN,2022,HHS0000,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,3573469.2,INCREMENTAL FUNDING FOR THE CONSOLIDATED ORA APPLICATION HELPDESK (CORAAH),Department of Health and Human Services,Food and Drug Administration,2007-09-21,2012-09-20,,MD,,
Belcan,BELCAN,2022,47QFPA19F0080,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,3391460.28,ANGRC INFORMATION ASSURANCE SUPPORT,General Services Administration,Federal Acquisition Service,2019-09-27,2022-03-26,,MD,,
Belcan,BELCAN,2022,H9222217F0191,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2836835.01,IGF::CT::IGF CARE COALITION,Department of Defense,U.S. Special Operations Command,2017-07-14,2023-01-13,,FL,,
Belcan,BELCAN,2022,H9222217F0188,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2719047.03,IGF::CT::IGF J6 PORTAL,Department of Defense,U.S. Special Operations Command,2017-07-14,2022-07-13,,FL,,
Belcan,BELCAN,2022,47QFDA21F0004,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2655708.03,GINNIE MAE CYBE SECURITY RECOMPETE,General Services Administration,Federal Acquisition Service,2020-11-15,2022-06-30,,DC,,
Belcan,BELCAN,2022,W9133L20F4030,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2379751.76,AV/VTC COMMERCIAL SERVICES,Department of Defense,Department of the Army,2020-09-29,2025-09-29,,MD,,
Belcan,BELCAN,2022,H9222218F0003,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,1625455.55,PBUSE LABOR,Department of Defense,U.S. Special Operations Command,2017-12-04,2022-12-03,,FL,,
Belcan,BELCAN,2022,H9240419F0065,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,1541488.94,CHIEF DATA OFFICE SUPPORT - LABOR,Department of Defense,U.S. Special Operations Command,2019-02-15,2020-02-14,,FL,,
Belcan,BELCAN,2022,HHSH230F5002,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,933605.69,NHSC RECORDS MANAGEMENT,Department of Health and Human Services,Health Resources and Services Administration,2006-06-21,2011-06-30,,MD,,
Belcan,BELCAN,2022,2031ZA20F00125,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,459868.65,SERENA APPLICATION&DATA EXPORT SUPPORT SERVICES,Department of the Treasury,Bureau of Engraving and Printing,2020-03-30,2022-05-12,,VA,,
Belcan,BELCAN,2022,DEDT0012432,,BELCAN FEDERAL LLC,J5EJL9B4QJL1,23384.2,"IGF::OT::IGF  TASK ORDER FOR CONSOLIDATED PROGRAM MANAGEMENT SUPPORT SERVICES -- MINIMUM ORDER GUARANTEE  INCLUDES FUNDING IN THE AMOUNT OF $15,000.00 CLIN 0001 (FULL AND OPEN) - THE KEMTAH GROUP POP: FOR 6 MONTHS FROM THE DATE OF AWARD OF THE EOP IV IDIQ MAC",Department of Energy,Department of Energy,2016-09-29,2021-09-26,,DC,,
Belcan,BELCAN,2022,FA865622FA034,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,1000.0,EWAAC - ON RAMP,Department of Defense,Department of the Air Force,2022-04-29,2022-05-31,,FL,,
Belcan,BELCAN,2022,N0017821F9404,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,500.0,SEAPORT NXG MINIMUM OBLIGATION TASK ORDER,Department of Defense,Department of the Navy,2021-07-14,2029-01-01,,VA,,
Belcan,BELCAN GOVERNMENT,2022,47QFMA18F0027,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,78235164.11,MISSION COMMAND SUPPORT CENTER,General Services Administration,Federal Acquisition Service,2018-06-20,2023-09-28,,MD,,
Belcan,BELCAN GOVERNMENT,2022,H9240420F0286,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,58558027.52,LABOR-GLOBAL FIELD SERVICE ENGINEERS,Department of Defense,U.S. Special Operations Command,2020-09-25,2025-03-27,,DC,,
Belcan,BELCAN GOVERNMENT,2022,273FCC18F0022,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,44894041.11,IT OPERATIONS SUPPORT SERVICES FOR THE FCC.,Federal Communications Commission,Federal Communications Commission,2018-09-28,2023-01-14,,VA,,
Belcan,BELCAN GOVERNMENT,2022,W56KGY21F0025,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,41023021.87,TASK ORDER AWARD FOR SYSTEMS ENGINEERING AND TECHNICAL ASSISTANCE (SETA) SUPPORT SERVICES FOR PRODUCT MANAGER (PDM) MULTI-MISSION SURVEILLANCE SYSTEMS (M2S2).,Department of Defense,Department of the Army,2021-01-21,2025-12-20,,VA,,
Belcan,BELCAN GOVERNMENT,2022,H9240421F0001,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,17991803.02,OMEN,Department of Defense,U.S. Special Operations Command,2020-11-01,2025-10-31,,FL,,
Belcan,BELCAN GOVERNMENT,2022,M0026418F0164,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,15760088.74,CYBERSECURITY AND CYBERSPACE DEFENSE SUPPORT SERVICES,Department of Defense,Department of the Navy,2018-05-15,2023-11-17,,VA,,
Belcan,BELCAN GOVERNMENT,2022,19FS1A18F0024,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,14180650.04,OMIS IT SUPPORT SERVICES,Department of State,Department of State,2018-05-25,2024-06-24,,VA,,
Belcan,BELCAN GOVERNMENT,2022,DTNH2215F00071,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,11746611.11,IGF::CL::IGF TITLE:  NHTSA'S VEHICLE SAFETY HOTLINE  DESCRIPTION:  REFERENCE REQUISITION 14-00002 AND SOLICITATION NUMBER DTNH22-14-R-00022 IN NHTSA'S LEGACY SYSTEM FOR SUPPORTING DOCUMENTATION  CONTINUE SERVICES FOR NHTSA'S VEHICLE SAFETY HOTLINE SERVICES.  DTNH22-09-C-00130 IS PROVIDING THESE SERV,Department of Transportation,National Highway Traffic Safety Administration,2015-07-31,2022-05-04,,DC,,
Belcan,BELCAN GOVERNMENT,2022,TCC17HQG0063,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,11197471.8,IGF::CT::IGF SERVICE DESK SUPPORT SERVICES,Department of the Treasury,Office of the Comptroller of the Currency,2017-01-04,2022-07-03,,DC,,
Belcan,BELCAN GOVERNMENT,2022,H9240420F0215,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,11174849.4,USASOC HQ APP DEV LABOR,Department of Defense,U.S. Special Operations Command,2020-08-01,2023-07-31,,NC,,
Belcan,BELCAN GOVERNMENT,2022,NGA16FSS1377,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,7074349.56,IGF::OT::IGF,National Gallery of Art,National Gallery of Art,2016-10-01,2024-09-04,,DC,,
Belcan,BELCAN GOVERNMENT,2022,NGA17FSS0756EP,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,7034595.98,IGF::OT::IGF,National Gallery of Art,National Gallery of Art,2017-06-19,2024-09-04,,DC,,
Belcan,BELCAN GOVERNMENT,2022,2031ZA18F00523,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,7020432.16,IGF::OT::IGF  WEB APPLICATION SUPPORT SERVICES CYRBYME-C,Department of the Treasury,Bureau of Engraving and Printing,2018-11-13,2021-12-12,,DC,,
Belcan,BELCAN GOVERNMENT,2022,DU100F16T00009,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,6890580.5,CYBERSECURITY FRAMEWORK PROGRAM IMPLEMENTATION IGF::OT::IGF,Department of Housing and Urban Development,Department of Housing and Urban Development,2016-09-29,2020-09-28,,DC,,
Belcan,BELCAN GOVERNMENT,2022,DEDT0014027,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,5730121.98,IGF::OT::IGF - EIA IT INFRASTRUCTURE (OPERATIONS CONTROL&FACILITIES),Department of Energy,Department of Energy,2017-09-18,2020-09-17,,DC,,
Belcan,BELCAN GOVERNMENT,2022,H9240420F0049,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4564013.69,GAME CHANGERS II,Department of Defense,U.S. Special Operations Command,2020-04-01,2023-09-15,,FL,,
Belcan,BELCAN GOVERNMENT,2022,H9240420F0001,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4488726.72,RDT&E - SOFTWARE SYSTEMS ENGINEER SR,Department of Defense,U.S. Special Operations Command,2019-11-05,2021-07-28,,FL,,
Belcan,BELCAN GOVERNMENT,2022,H9240420F0042,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4329214.34,COMMAND DATA OFFICE SUPPORT II LABOR,Department of Defense,U.S. Special Operations Command,2020-02-13,2022-02-12,,FL,,
Belcan,BELCAN GOVERNMENT,2022,H9222217F0265,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,4295732.95,IGF::CT::IGF C4I LAB,Department of Defense,U.S. Special Operations Command,2017-09-25,2023-03-24,,FL,,
Belcan,BELCAN GOVERNMENT,2022,H9240419F0104,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,3917136.75,USASOC DEFENSEREADY LABOR,Department of Defense,U.S. Special Operations Command,2019-04-01,2021-10-31,,NC,,
Belcan,BELCAN GOVERNMENT,2022,HHS0000,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,3573469.2,INCREMENTAL FUNDING FOR THE CONSOLIDATED ORA APPLICATION HELPDESK (CORAAH),Department of Health and Human Services,Food and Drug Administration,2007-09-21,2012-09-20,,MD,,
Belcan,BELCAN GOVERNMENT,2022,47QFPA19F0080,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,3391460.28,ANGRC INFORMATION ASSURANCE SUPPORT,General Services Administration,Federal Acquisition Service,2019-09-27,2022-03-26,,MD,,
Belcan,BELCAN GOVERNMENT,2022,H9222217F0191,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2836835.01,IGF::CT::IGF CARE COALITION,Department of Defense,U.S. Special Operations Command,2017-07-14,2023-01-13,,FL,,
Belcan,BELCAN GOVERNMENT,2022,H9222217F0188,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2719047.03,IGF::CT::IGF J6 PORTAL,Department of Defense,U.S. Special Operations Command,2017-07-14,2022-07-13,,FL,,
Belcan,BELCAN GOVERNMENT,2022,47QFDA21F0004,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2655708.03,GINNIE MAE CYBE SECURITY RECOMPETE,General Services Administration,Federal Acquisition Service,2020-11-15,2022-06-30,,DC,,
Belcan,BELCAN GOVERNMENT,2022,W9133L20F4030,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,2379751.76,AV/VTC COMMERCIAL SERVICES,Department of Defense,Department of the Army,2020-09-29,2025-09-29,,MD,,
Belcan,BELCAN GOVERNMENT,2022,H9222218F0003,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,1625455.55,PBUSE LABOR,Department of Defense,U.S. Special Operations Command,2017-12-04,2022-12-03,,FL,,
Belcan,BELCAN GOVERNMENT,2022,H9240419F0065,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,1541488.94,CHIEF DATA OFFICE SUPPORT - LABOR,Department of Defense,U.S. Special Operations Command,2019-02-15,2020-02-14,,FL,,
Belcan,BELCAN GOVERNMENT,2022,HHSH230F5002,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,933605.69,NHSC RECORDS MANAGEMENT,Department of Health and Human Services,Health Resources and Services Administration,2006-06-21,2011-06-30,,MD,,
Belcan,BELCAN GOVERNMENT,2022,2031ZA20F00125,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,459868.65,SERENA APPLICATION&DATA EXPORT SUPPORT SERVICES,Department of the Treasury,Bureau of Engraving and Printing,2020-03-30,2022-05-12,,VA,,
Belcan,BELCAN GOVERNMENT,2022,FA865622FA034,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,1000.0,EWAAC - ON RAMP,Department of Defense,Department of the Air Force,2022-04-29,2022-05-31,,FL,,
Belcan,BELCAN GOVERNMENT,2022,N0017821F9404,,"BELCAN GOVERNMENT SOLUTIONS, INC.",QGLKHDNEX3R5,500.0,SEAPORT NXG MINIMUM OBLIGATION TASK ORDER,Department of Defense,Department of the Navy,2021-07-14,2029-01-01,,VA,,
